name,months,year,co,no2,o3,pm10,pm25,so2,date
Traralgon,January,2020,622.9671858632997,12.350339042116532,47.805706433479074,47.22807958,26.98190037,2.2409121370571956,2020-01-01
Traralgon,February,2020,158.40730586999197,8.41371285000446,33.77802016596769,16.82442177,6.64867121,2.4348572352101363,2020-02-01
Traralgon,March,2020,127.08429171767644,11.351874418666904,33.10633925225305,17.39536513,5.900118343,1.148463468367984,2020-03-01
Traralgon,April,2020,132.37942888373337,11.249089876862675,32.60551084143839,14.43779503,7.421554487,1.8187087311501737,2020-04-01
Traralgon,May,2020,439.3486518399215,16.02971854956723,23.5728398322477,14.8549429,10.83388979,1.4456054586419198,2020-05-01
Traralgon,June,2020,448.20607516284474,17.273942753189967,21.217728205585793,16.69076212,13.24616529,1.8724281703399654,2020-06-01
Traralgon,July,2020,352.7988427978049,17.13821592174534,28.372989738556257,13.93327674,8.519672447,2.0897928058356383,2020-07-01
Traralgon,August,2020,302.8600819759971,13.73361550771839,37.00818845364504,14.32686567,8.366208609,2.253146437048273,2020-08-01
Traralgon,September,2020,227.09136742170074,12.299018616935843,39.123130900330146,16.70948276,6.502354892,2.6279676568216286,2020-09-01
Traralgon,October,2020,190.20077780182032,8.380220427411437,41.386596234496295,14.3816242,4.984474522,1.3085327045596502,2020-10-01
Traralgon,November,2020,154.42293773043633,7.995383952440438,41.11112840189167,21.69659864,6.445964215,2.279856086374587,2020-11-01
Traralgon,December,2020,116.15334735388596,6.697511522262871,34.56283537075043,16.56571936,5.018456261,3.441580049522619,2020-12-01
Traralgon,January,2021,131.07098923351478,7.238940878914964,33.349493709288836,17.7751875,5.662765625,3.442100293120371,2021-01-01
Traralgon,February,2021,119.79914614928171,7.628533540644238,29.50181422325332,17.66808383,4.994008439,3.414678881948781,2021-02-01
Traralgon,March,2021,124.63073618541983,8.857097429731416,31.35162808958686,16.23687266,5.424528986,1.817468150263228,2021-03-01
Traralgon,April,2021,209.25248148880166,12.66237527393593,32.454790755777644,16.28717172,8.397912458,4.068164868831979,2021-04-01
Traralgon,May,2021,277.33802080173103,16.976671843490674,31.35162808958686,16.30527778,9.225444444,1.817468150263228,2021-05-01
